1,19,29
1,66,29.2521
1,19,34.0849
6,19,29
6,19,30
6,19,32.0027
6,81,32.2548
6,11,32.5918
6,19,33.5068
8,33,31
8,31,32.0849
8,67,32.9178
10,38,22
10,19,31.0055
12,79,29
12,22,32.4219
12,22,36.3397
14,56,28
14,56,35.5863
14,56,37.5014
14,56,39.589
14,56,41.4192
14,56,42.5041
14,44,45.011
14,42,45.5918
14,42,46.926
14,42,48.1753
15,77,26
15,41,33.3342
15,6,36.1671
18,2,24
18,77,27.0027
18,77,30.0055
18,31,31.0055
19,67,29
19,67,30.589
19,24,32.0027
21,14,22
21,33,25.674
22,60,29
22,60,30.4137
22,60,32.0849
22,68,33.1726
26,15,29
26,19,30.4192
32,19,22
32,33,25.7507
37,77,29
37,77,31.9178
37,33,34.2548
37,19,34.3315
37,11,37.7534
38,33,30
38,77,33.1699
38,33,34.0027
38,19,35.1699
38,19,36.3425
40,55,26
40,42,26.3342
41,74,24
41,74,25.8384
41,33,27.2521
41,33,28.8411
41,33,30.674
42,33,31
42,19,34.337
42,31,35.8411
43,33,31
43,33,38.0055
43,6,44.3425
45,82,26
45,82,26.8329
45,82,28.0877
45,82,29.0877
45,52,30.589
47,19,30
47,16,34.0027
48,56,29
48,24,33.0027
48,6,39.589
52,6,31
52,6,32
52,19,33
52,70,33.2521
54,77,30
54,77,34.7507
54,19,37.3342
54,77,39.7534
60,81,26
60,82,29
60,82,30.9205
60,82,32.1726
63,5,28
63,19,32.3397
65,75,29
65,7,32.8356
69,53,30
69,56,31.2548
69,44,32.926
69,14,33.5068
69,14,36.1726
69,75,36.8438
70,77,31
70,81,39.5863
73,77,29
73,77,29.5014
73,77,31.589
73,81,33.1699
74,8,28
74,77,29.8329
75,49,31
75,49,32.0849
75,33,32.6712
76,24,22
76,33,23.7507
77,45,24
77,41,27.1644
79,33,30
79,19,31
80,43,28
80,43,28.3342
80,6,29.337
80,6,31.5836
83,77,31
83,33,32.7507
83,80,35.4164
83,33,36.5014
83,6,38.0055
87,49,26
87,17,26.6685
88,17,31
88,65,31.337
88,17,32.1671
89,47,24
89,17,28.337
92,14,29
92,6,30.2548
92,6,32.0877
93,67,28
93,6,29.7479
93,6,32.0849
94,65,28
94,17,30.2521
100,33,29
100,70,29.2521
100,33,30.0027
100,70,30.2548
100,70,31.0027
100,33,31.674
